"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"410","ENSG00000211965.4","IGHV3-49",3.90322082123491e-30,-3.60908638352232
"411","ENSG00000248144.5","ADH1C",4.14767005779276e-30,-2.42785759007143
"412","ENSG00000242472.1","IGHJ5",4.36093563770941e-30,-3.42027424327779
"413","ENSG00000240801.1","AC132217.1",4.54741310956006e-30,-3.23925232399111
"414","ENSG00000115602.16","IL1RL1",4.64008503264118e-30,-2.80278162916076
"415","ENSG00000244575.3","IGKV1-27",4.81405510723444e-30,-3.50531899444192
"416","ENSG00000211952.3","IGHV4-28",5.38964964120564e-30,-3.23333628204515
"417","ENSG00000211651.3","IGLV1-44",5.90015368405341e-30,-3.6374329289043
"418","ENSG00000143512.12","HHIPL2",7.1949180374624e-30,2.54139638438454
"419","ENSG00000119888.10","EPCAM",7.84081206736041e-30,-3.49451217148658
"420","ENSG00000203811.1","HIST2H3C",7.99990584632959e-30,2.03593650353585
"421","ENSG00000211972.2","IGHV3-66",9.3830639821736e-30,-3.43347766347903
"422","ENSG00000227300.12","KRT16P2",9.67937840977627e-30,-3.47454550474644
"423","ENSG00000274576.2","IGHV2-70",1.10991479574621e-29,-3.40888804491953
"424","ENSG00000211942.3","IGHV3-13",1.23768300811325e-29,-3.15416681326913
"425","ENSG00000224650.2","IGHV3-74",1.28239578794537e-29,-3.21332153235378
"426","ENSG00000211668.2","IGLV2-11",1.33079765228484e-29,-3.65805997480285
"427","ENSG00000137077.7","CCL21",1.4590969372346e-29,-3.15374180339979
"428","ENSG00000211660.3","IGLV2-23",1.49564013553656e-29,-3.60597157489699
"429","ENSG00000239951.1","IGKV3-20",1.81082679017268e-29,-3.62652460361054
"430","ENSG00000116785.13","CFHR3",2.31626857354572e-29,-2.20584852478141
"431","ENSG00000242076.2","IGKV1-33",2.33562638853055e-29,-3.84446229587389
"432","ENSG00000211597.2","IGKJ1",2.38503538169254e-29,-3.06055929278807
"433","ENSG00000224373.3","IGHV4-59",2.40451437199678e-29,-3.78749330323491
"434","ENSG00000211968.3","IGHV1-58",3.11348792634758e-29,-3.10288632319197
"435","ENSG00000126752.7","SSX1",3.39949332597431e-29,4.13933406901966
"436","ENSG00000211946.3","IGHV3-20",3.65415821396471e-29,-3.33914472927008
"437","ENSG00000211951.2","IGHV2-26",4.58479784898249e-29,-3.29825366996122
"438","ENSG00000180432.5","CYP8B1",4.72554205798542e-29,-2.80176967428128
"439","ENSG00000175793.11","SFN",4.7567575540936e-29,3.00406735763562
"440","ENSG00000240382.3","IGKV1-17",4.84550394810915e-29,-3.47768472054271
"441","ENSG00000108691.9","CCL2",5.07715765284294e-29,-2.01181946130744
"442","ENSG00000211595.2","IGKJ3",6.00393699654324e-29,-2.662020265992
"443","ENSG00000211670.2","IGLV3-9",6.33004615684104e-29,-3.07945530527297
"444","ENSG00000243063.1","IGKV3-7",6.63206787030327e-29,-2.84593277661053
"445","ENSG00000179455.8","MKRN3",6.6999407476958e-29,2.19919867131979
"446","ENSG00000240041.1","IGHJ4",6.91198690830901e-29,-3.23311050810916
"447","ENSG00000211593.2","IGKJ5",8.09205158734216e-29,-2.89061281966892
"448","ENSG00000211666.2","IGLV2-14",1.17456106011817e-28,-3.36896784066425
"449","ENSG00000143195.12","ILDR2",1.2956443901055e-28,2.23791856988563
"450","ENSG00000046774.9","MAGEC2",1.40548230698199e-28,3.95265441001
"451","ENSG00000167798.17","C3P1",1.44915296566858e-28,-2.19996484692973
"452","ENSG00000114200.9","BCHE",2.09516322184379e-28,-2.0537945423871
"453","ENSG00000211962.2","IGHV1-46",2.40256658986261e-28,-3.28582957145893
"454","ENSG00000211678.2","IGLJ3",2.92524922864718e-28,-2.86599733871552
"455","ENSG00000211659.2","IGLV3-25",3.29838112051221e-28,-3.40955894077411
"456","ENSG00000211893.4","IGHG2",3.36659708785383e-28,-2.99882757602197
"457","ENSG00000241755.1","IGKV1-9",6.91782009469793e-28,-3.72662057732589
"458","ENSG00000225765.1","LINC01831",7.56971621420119e-28,-2.54228138710302
"459","ENSG00000276566.1","IGKV1D-13",9.69303246543232e-28,-3.43021080633112
"460","ENSG00000211964.3","IGHV3-48",1.00141464350435e-27,-3.48908172360126
"461","ENSG00000084110.10","HAL",1.03435035128995e-27,-2.43334738619664
"462","ENSG00000254709.7","IGLL5",1.47029485313148e-27,-3.26770158478573
"463","ENSG00000172724.11","CCL19",1.47882262826451e-27,-3.34193889416364
"464","ENSG00000211970.3","IGHV4-61",1.52456164924708e-27,-3.74749725047695
"465","ENSG00000211675.2","IGLC1",1.60706170578853e-27,-3.14462869748982
"466","ENSG00000211598.2","IGKV4-1",1.8011614644567e-27,-3.39332536305929
"467","ENSG00000242887.1","IGHJ3",1.98108139116529e-27,-2.98515097098835
"468","ENSG00000179772.7","FOXS1",1.98863616555722e-27,2.16904903313135
"469","ENSG00000182798.10","MAGEB17",2.16611433218897e-27,2.66995989974233
"470","ENSG00000166741.7","NNMT",2.49632500951128e-27,-2.21331706721565
"471","ENSG00000254338.1","MAFA-AS1",2.54219383446964e-27,2.61323274912396
"472","ENSG00000211945.2","IGHV1-18",3.54482910123161e-27,-3.54535097102791
"473","ENSG00000211611.2","IGKV6-21",3.6289538564889e-27,-3.28908067781657
"474","ENSG00000211599.2","IGKV5-2",3.62941207424854e-27,-2.77890431586675
"475","ENSG00000135447.16","PPP1R1A",3.70378731205534e-27,-2.21211658451311
"476","ENSG00000156222.11","SLC28A1",5.08520834827905e-27,-2.11120952895651
"477","ENSG00000239819.2","IGKV1D-8",5.21755817264194e-27,-3.14773020799485
"478","ENSG00000251546.1","IGKV1D-39",5.81708207743035e-27,-3.47854420733208
"479","ENSG00000277559.1","AC018553.1",6.00360042865438e-27,2.57906004482267
"480","ENSG00000211594.2","IGKJ4",7.26783631521832e-27,-2.98730851405149
"481","ENSG00000280411.1","IGHV1-69D",7.90814142270784e-27,-4.01023803825242
"482","ENSG00000211947.2","IGHV3-21",8.60789941133048e-27,-3.63824371471143
"483","ENSG00000270550.1","IGHV3-30",1.06692910423093e-26,-3.77308180361857
