"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"271","ENSG00000039537.13","C6",1.85503357405961e-36,-2.12675518048136
"272","ENSG00000188536.13","HBA2",3.17386090569109e-36,-2.25310236830281
"273","ENSG00000230356.1","NCAPD2P1",3.22413215668767e-36,3.05620784375034
"274","ENSG00000211895.5","IGHA1",3.66784295414535e-36,-3.53192357944167
"275","ENSG00000160868.14","CYP3A4",3.74298049757285e-36,-4.26522379915294
"276","ENSG00000272872.1","AP000525.1",5.03270602609295e-36,2.96190671430397
"277","ENSG00000111713.2","GYS2",5.09559707416688e-36,-2.6375620270306
"278","ENSG00000135144.7","DTX1",6.08377202249761e-36,-2.56539081968053
"279","ENSG00000229754.1","CXCR2P1",7.41317954691645e-36,-2.22045301992483
"280","ENSG00000164266.10","SPINK1",8.14524560277943e-36,5.64965846532982
"281","ENSG00000069011.15","PITX1",1.21675018535776e-35,3.74121691452521
"282","ENSG00000259359.1","AC012409.1",1.67724732051829e-35,-2.07500101917668
"283","ENSG00000109181.11","UGT2B10",2.16427167196794e-35,-2.11397661822767
"284","ENSG00000106236.3","NPTX2",2.21248026543838e-35,-3.36791712216938
"285","ENSG00000230316.6","FEZF1-AS1",2.25143640304061e-35,3.32803663416374
"286","ENSG00000269353.1","AC092071.1",3.71744636598262e-35,-3.63602441781805
"287","ENSG00000196747.4","HIST1H2AI",4.18874644226878e-35,2.28087488236959
"288","ENSG00000154096.13","THY1",5.56542421787172e-35,2.1762673104041
"289","ENSG00000242600.8","MBL1P",9.87387367062798e-35,-2.39217278820533
"290","ENSG00000255986.6","MT1JP",1.01599993362365e-34,-3.3899486980891
"291","ENSG00000258498.8","DIO3OS",1.08639933970047e-34,-2.46462176146927
"292","ENSG00000272141.1","AL390719.2",1.35510440436242e-34,-3.058110882573
"293","ENSG00000182379.9","NXPH4",1.49198646681286e-34,2.65945700967513
"294","ENSG00000017427.16","IGF1",2.05201487156842e-34,-2.3306288039307
"295","ENSG00000124875.9","CXCL6",4.70132097566088e-34,-3.846697085304
"296","ENSG00000117525.13","F3",6.04309278592764e-34,-2.02835410056071
"297","ENSG00000257017.8","HP",6.57110772159539e-34,-2.34734841048734
"298","ENSG00000095932.6","SMIM24",7.81203341857124e-34,-5.01811172115293
"299","ENSG00000223991.1","AC104809.1",7.81203341857124e-34,-4.15399780363675
"300","ENSG00000215644.9","GCGR",8.19258360277989e-34,-3.50739474546801
"301","ENSG00000266964.5","FXYD1",8.34589306202195e-34,-2.32344676517731
"302","ENSG00000187758.7","ADH1A",9.2594902197038e-34,-2.16433338710164
"303","ENSG00000253293.4","HOXA10",1.04247393176149e-33,3.54916616873013
"304","ENSG00000279428.1","AC087164.2",1.28096209662659e-33,-2.8552348653905
"305","ENSG00000237949.1","LINC00844",2.80324936561546e-33,-3.35239057749074
"306","ENSG00000205364.3","MT1M",3.12948621783508e-33,-3.84914646672802
"307","ENSG00000081041.8","CXCL2",3.7323628219962e-33,-2.3956457895319
"308","ENSG00000211890.4","IGHA2",4.3108735122971e-33,-3.24352580855744
"309","ENSG00000118094.11","TREH",4.86053311710761e-33,-2.93115889854392
"310","ENSG00000243431.1","RPL5P30",6.11066618187127e-33,-2.14618722081311
"311","ENSG00000112299.7","VNN1",7.43714628701598e-33,-2.74098783938641
"312","ENSG00000224566.2","FAM96AP2",7.74611044555066e-33,2.69891620543466
"313","ENSG00000284491.2","THSD8",9.052804174737e-33,2.20679154932664
"314","ENSG00000148671.13","ADIRF",1.13141290018221e-32,-2.09362582524948
"315","ENSG00000105697.8","HAMP",1.53572556042442e-32,-4.95385875692559
"316","ENSG00000225698.3","IGHV3-72",2.11580742926582e-32,-3.2326910559844
"317","ENSG00000225532.1","AL731684.1",2.15926941068964e-32,3.05640463900747
"318","ENSG00000266976.1","AC079466.1",3.05504607880757e-32,2.83177944981486
"319","ENSG00000242262.1","AC092597.1",3.20492838022795e-32,-2.14936432934454
"320","ENSG00000211904.2","IGHJ2",3.8947274748145e-32,-3.10027264495355
"321","ENSG00000180447.6","GAS1",4.08522618808015e-32,-2.3279610240356
"322","ENSG00000113739.10","STC2",4.44393407297894e-32,2.24831661809632
"323","ENSG00000196616.13","ADH1B",8.40527851302826e-32,-2.29460093339451
"324","ENSG00000021461.16","CYP3A43",1.36448678421514e-31,-2.37446100768385
"325","ENSG00000154928.17","EPHB1",1.61441319185417e-31,-2.01776349108592
"326","ENSG00000107159.12","CA9",2.22562487131917e-31,-3.14321130035788
"327","ENSG00000125538.11","IL1B",2.22916588879899e-31,-2.24680010208994
"328","ENSG00000198074.9","AKR1B10",2.44145818296073e-31,4.23619402495289
"329","ENSG00000135454.13","B4GALNT1",3.45926408205717e-31,2.19661552658181
"330","ENSG00000135480.15","KRT7",3.65762319555272e-31,-3.39566596806921
"331","ENSG00000213412.3","HNRNPA1P33",5.10354687129182e-31,-2.7170062515987
"332","ENSG00000106038.12","EVX1",5.37894996845465e-31,2.25169874592997
"333","ENSG00000150656.14","CNDP1",5.48038032525987e-31,-4.31147793650727
"334","ENSG00000206172.8","HBA1",6.29712149392377e-31,-2.23491715333594
"335","ENSG00000256612.7","CYP2B7P",7.63831608039441e-31,-3.22819336218658
"336","ENSG00000145692.14","BHMT",7.70114571936022e-31,-2.16820092086371
"337","ENSG00000124657.1","OR2B6",8.16683543818608e-31,2.03843669378526
"338","ENSG00000211937.3","IGHV2-5",1.21913432253406e-30,-3.84182053725525
"339","ENSG00000015520.14","NPC1L1",1.23826951360998e-30,-2.99126734564047
"340","ENSG00000235200.2","LINC01702",1.47796565631934e-30,-2.32531529845135
"341","ENSG00000159217.9","IGF2BP1",1.49164486184091e-30,4.04217037482907
"342","ENSG00000275223.1","AL121906.2",1.56273512223525e-30,2.01262742827705
"343","ENSG00000255974.7","CYP2A6",1.68946710750816e-30,-3.4737403931401
"344","ENSG00000244734.4","HBB",1.94607569525899e-30,-2.28424891806064
"345","ENSG00000260549.1","MT1L",2.01392441255725e-30,-2.33232481061286
"346","ENSG00000124713.5","GNMT",2.140010111242e-30,-2.17730445238762
"347","ENSG00000211899.10","IGHM",3.02233582144426e-30,-3.12645330754587
"348","ENSG00000130427.2","EPO",3.44735190475816e-30,-3.29998830932396
"349","ENSG00000278196.3","IGLV2-8",3.67643180326766e-30,-3.64712924893537
"350","ENSG00000211966.2","IGHV5-51",3.6864137105693e-30,-3.83687674825882
"351","ENSG00000165478.6","HEPACAM",4.28375459212603e-30,-3.25633832371129
"352","ENSG00000115361.7","ACADL",4.87543349433472e-30,-2.05407971574873
"353","ENSG00000130649.9","CYP2E1",5.6808183300429e-30,-3.43614841846583
"354","ENSG00000211664.3","IGLV2-18",6.33996013325884e-30,-3.3915351709441
"355","ENSG00000283486.2","FAM95C",7.65233607878737e-30,-2.27438162069441
"356","ENSG00000211976.2","IGHV3-73",9.7934315150924e-30,-3.31094499893631
"357","ENSG00000125775.14","SDCBP2",9.80028817270766e-30,-2.11842044510055
"358","ENSG00000100652.4","SLC10A1",1.70491749150753e-29,-2.50292520290917
"359","ENSG00000243238.1","IGKV2-30",3.45604972150459e-29,-3.61895166573674
"360","ENSG00000248709.2","AC008549.1",3.6524719442787e-29,-2.26338359366005
"361","ENSG00000253417.5","LINC02159",4.52452340185737e-29,2.8860719999669
"362","ENSG00000211655.3","IGLV1-36",4.55421060122798e-29,-3.32444168995903
"363","ENSG00000241244.1","IGKV1D-16",5.20681780342593e-29,-3.243875261911
"364","ENSG00000271681.1","AC136601.2",1.0800849537272e-28,-2.28566504753061
"365","ENSG00000143512.12","HHIPL2",1.21598407096777e-28,2.53816376955707
"366","ENSG00000198758.10","EPS8L3",1.41999478335714e-28,3.40893210171925
"367","ENSG00000211596.3","IGKJ2",1.73133059026235e-28,-3.13517928828442
"368","ENSG00000241294.1","IGKV2-24",2.5079407476801e-28,-3.41159019401416
"369","ENSG00000175793.11","SFN",2.72697492539224e-28,3.01023251969481
"370","ENSG00000179455.8","MKRN3",2.84326353382501e-28,2.21710137997985
"371","ENSG00000243264.2","IGKV2D-29",2.99333071782793e-28,-3.68463013254646
"372","ENSG00000211943.2","IGHV3-15",3.77095700213886e-28,-3.60240759459902
"373","ENSG00000138135.6","CH25H",4.72324994846128e-28,-2.59084597201601
"374","ENSG00000240801.1","AC132217.1",5.01892960537918e-28,-3.43923799344718
"375","ENSG00000019102.11","VSIG2",5.35936863407993e-28,-2.02123976413841
"376","ENSG00000237337.1","AL592182.2",6.83732505793811e-28,-2.7391256614256
"377","ENSG00000211669.3","IGLV3-10",7.10631911758432e-28,-3.49698133616505
