"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"1083",-2.95185634992336,"FAM99B",1.91783631273795e-18,-2.70299288955289,"FAM99B",8.92466241746566e-08,-0.14814000136773
"1085",-2.02225811934523,"HSPB6",1.69412644859201e-18,-1.71362977617836,"HSPB6",2.35983718897192e-08,-0.235666582576416
"1087",2.84697432707456,"AL162582.1",2.3526599840743e-18,1.36702058113146,"AL162582.1",0.00369207918989426,1.46647192987581
"1091",-2.08600938651623,"VSIG2",2.20662423199283e-18,-1.96608190132202,"VSIG2",9.24382087257442e-09,-0.0398818747340412
"1092",-2.93785921587042,"IGHV3-63",2.67760471178475e-18,-2.33259335105963,"IGHV3-63",8.74919922678355e-07,-0.51493588029754
"1093",-4.5160571310451,"IGHV3-33",2.37112971339835e-18,-2.57408131101483,"IGHV3-33",9.64601933688407e-05,-1.84486964200036
"1099",-2.0157564204358,"RN7SL74P",3.12658180929148e-18,-0.969358157739245,"RN7SL74P",0.00258154422514922,-0.994320891192992
"1110",-3.98848627103622,"IGKC",2.5955564568522e-18,-3.02826239573272,"IGKC",4.8125440382091e-06,-0.850373298247533
"1121",-2.26224096535383,"CXCL2",2.44983411628736e-18,-2.11860671844664,"CXCL2",6.81414377831064e-09,-0.0593087639551504
"1124",3.07972624613038,"GPC3",2.83442779807965e-18,3.65524524976773,"GPC3",1.04639789669836e-11,-0.653208795817236
"1126",-2.3314672306122,"PRG4",2.89333759491192e-18,-0.704177331768848,"PRG4",0.0788046602175611,-1.58265354673478
"1129",2.24847120399503,"TRAPPC13P1",4.8634179375083e-18,0.398486554231803,"TRAPPC13P1",0.325314859006177,1.86368006437428
"1131",-3.34463971498101,"IGKV3OR2-268",5.25196536671789e-18,-2.68660108625923,"IGKV3OR2-268",8.83489657391627e-07,-0.557775126526931
"1133",-3.11274815508379,"IGHV3-71",5.68438351595601e-18,-2.30323968267095,"IGHV3-71",6.47940670455174e-06,-0.720002156862061
"1141",-3.76014853759498,"IGKV2-40",6.32347783362155e-18,-2.80752359815583,"IGKV2-40",4.01657844068058e-06,-0.848968330849744
"1147",-2.00147844677786,"SLC22A17",6.08786081831878e-18,-2.07768866132639,"SLC22A17",7.49039337692416e-11,0.159387529809624
