"","M_HBV_unfiltered.logFC","M_HBV_unfiltered.gene_name","M_HBV_unfiltered.adj.P.Val","F_HBV_unfiltered.logFC","F_HBV_unfiltered.gene_name","F_HBV_unfiltered.adj.P.Val","residuals"
"4557",-2.81065747213,"IGHV4-31",5.80064929344668e-05,-1.36774298929276,"IGHV4-31",0.434113991590223,-1.67719421081465
"4612",-2.85498679074074,"IGHV3-30",5.30445690879909e-05,0.10272616614927,"IGHV3-30",0.958855667339787,-2.89065466358437
"4628",-2.69692827352683,"IGHV1-2",6.48210663396978e-05,-0.519397123965343,"IGHV1-2",0.784231516536017,-2.23796237247143
"4633",-2.61408262482786,"IGLV3-21",5.79063869252615e-05,-0.135979126369824,"IGLV3-21",0.943500483940623,-2.45996223292635
"4645",-2.29410417517649,"IGHV1-46",6.83249752954704e-05,-0.939516316793435,"IGHV1-46",0.560671776048366,-1.50111261532009
"4665",-2.02977119364403,"EPO",7.28437032798894e-05,-3.48839051013952,"EPO",0.00680151799381792,0.789762824084931
"4673",-2.155193827447,"IGKJ4",8.17760241582465e-05,-0.822073072252432,"IGKJ4",0.570840911138784,-1.45557828515709
"4677",-2.41900746963305,"IGKV6D-21",8.87401287250246e-05,-1.44233347913391,"IGKV6D-21",0.359424935058081,-1.22623928263277
"4679",-2.73584659557166,"IGKV1-5",5.9368132461712e-05,-0.413486414310096,"IGKV1-5",0.816279031444592,-2.36108749861043
"4723",-2.38865761505822,"IGKC",5.35317099506068e-05,-1.21224174300715,"IGKC",0.406528932948496,-1.37882928192902
"4724",-2.85255764065596,"IGKV3-15",6.91450248590176e-05,-1.34902982507672,"IGKV3-15",0.455587367645296,-1.73397272127837
"4791",-2.78506975856401,"IGHV3-33",9.43387850296407e-05,-2.15394613664753,"IGHV3-33",0.236452080353207,-1.02651716848273
"4804",2.00619825272261,"LINC01287",0.000106396544694384,2.49963638956336,"LINC01287",0.0326849460696023,0.0648104553185687
"4808",-2.06968752126747,"GCK",0.000114734724100394,-2.54186421628821,"GCK",0.0354985699581344,-0.00271152581748262
"4828",-2.12391760969217,"IGHV4-34",0.000107566302348062,0.130015883558178,"IGHV4-34",0.934249343750105,-2.18128281508241
"4838",-2.04860024458282,"FGF23",0.000124674292073445,-2.10967733670134,"FGF23",0.0892096332750117,-0.325244606506559
"4858",-2.52210466159252,"IGHV1-18",0.000107679774647546,-0.995363885206456,"IGHV1-18",0.573772644242219,-1.68471017716127
"4887",-2.2589285154283,"IGKV1-27",0.000129259153561305,-1.51293824462799,"IGKV1-27",0.315188542680019,-1.01002434675603
"4943",2.34251259005574,"COL2A1",0.00018188312617315,3.96174941955562,"COL2A1",0.00124477927442636,-0.761362607167056
"4955",-2.23372679608519,"IGLV7-46",0.000162790180363469,-1.46699814617227,"IGLV7-46",0.311165932242505,-1.02134838465995
"4968",-2.78846234682189,"IGHV1-69D",0.000141291910520552,-1.11732462308276,"IGHV1-69D",0.56942159005367,-1.85410010535304
"4974",-2.72092702645556,"IGHV7-4-1",0.000170490805494108,-2.66081640128772,"IGHV7-4-1",0.134981953015034,-0.559375294789356
"4985",2.77755389135232,"CSAG3",0.000193042888088028,1.69468840914309,"CSAG3",0.369903240934314,1.47615894371658
"4992",2.20488184371794,"MAGEC1",0.000213465204321213,1.44473221468314,"MAGEC1",0.329724890786611,1.10222045539388
"5090",-2.14987162314619,"IGHV3-43",0.000217566857383172,-0.66239869722702,"IGHV3-43",0.676771399872058,-1.57720895333151
"5145",-2.45666219160257,"IGKV2D-28",0.000257328972175778,0.0382858686854302,"IGKV2D-28",0.985214894470494,-2.44109528826568
"5236",-2.03815416880613,"IGHV3-53",0.000319233441129493,-1.14259298179795,"IGHV3-53",0.446123107684135,-1.08370172362665
"5244",-2.00931726890809,"IGHV2-70D",0.000373746785228416,-1.10922061972991,"IGHV2-70D",0.451738200330968,-1.0813983061684
"5258",-2.17351440679886,"IGLV7-43",0.000335557610459276,-0.523254307367611,"IGLV7-43",0.755812463041236,-1.71148176123606
"5300",2.20132731247023,"REG1A",0.000426392458890319,0.089966283365845,"REG1A",0.967624005327631,2.17580448495115
"5307",-2.03422015616475,"AC135068.2",0.000426942339697542,0.705722283670025,"AC135068.2",0.646937253887211,-2.54931429385825
