"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"62",-5.11615281941458,"TACSTD2",7.18299352864987e-41,-4.85809847141973,"TACSTD2",2.28297281997621e-20,-0.0968582572539458
"63",-4.13388305714427,"B3GAT1",7.66939733227049e-41,-3.55406343823269,"B3GAT1",6.32037965599092e-18,-0.455214974547644
"65",-3.01371948810049,"DNASE1L3",7.8039087350688e-41,-2.8256204419359,"DNASE1L3",6.2156819859456e-20,-0.0839346370392177
"66",-2.7162969091421,"C1QTNF1",1.74775976535703e-40,-2.47754121970458,"C1QTNF1",9.78735217727537e-20,-0.144358442904464
"67",-3.31981941014337,"SHBG",2.05607155123617e-40,-2.61981358125407,"SHBG",5.46509190663949e-18,-0.601616395523779
"69",2.70131847888378,"CENPF",2.690388982939e-40,3.22333794714491,"CENPF",2.26511886689792e-30,-0.587589867555444
"70",-2.95606995760244,"ID1",8.81212095283399e-40,-2.14929974158106,"ID1",5.16874919635478e-14,-0.721583481583309
"72",-3.61582527431318,"ADAMTSL2",1.05194859347974e-39,-2.59601944533372,"ADAMTSL2",8.87407460473621e-16,-0.922084063143152
"73",-2.97995884463097,"DIRAS3",1.16136590611778e-39,-3.46845395662369,"DIRAS3",1.59993645488471e-25,0.610697539640131
"74",-3.31598746996679,"KBTBD11",2.52221914028348e-39,-3.23007418276913,"KBTBD11",1.87882318854606e-18,0.0296001631674193
"76",-5.97536411342165,"MARCO",1.89476237316808e-38,-4.97122815308892,"MARCO",1.95848733343887e-14,-0.839765431348149
"78",-3.69019814279046,"AL035661.1",2.67290437454206e-38,-2.47786867030052,"AL035661.1",1.86398695575198e-11,-1.11792303763708
"79",2.73175826544221,"CELSR3",2.97111315495753e-38,2.44288671380434,"CELSR3",2.168356112561e-18,0.245200747621165
"80",-3.01803697366693,"NGFR",5.58814121867662e-38,-2.00043918596582,"NGFR",1.0762328588529e-11,-0.936588105949368
"82",-2.40230589494008,"GHR",5.93017775486754e-38,-2.19098598680838,"GHR",1.30009830460375e-18,-0.124963450512831
"83",2.38028347291456,"FAM83D",6.9054182735333e-38,2.55242738046668,"FAM83D",1.70320908495248e-23,-0.218888441436708
